epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.7617,0.77571,2.56781,1.01011,0.64709,0.73188,0.76011,0.59735,0.7841,1.27726,0.92737,0.000234338,0.000234338,0.000234338
2,90.2309,0.85033,1.23932,1.0246,0.5956,0.65369,0.72054,0.49269,0.9738,2.12038,1.08389,0.000462986,0.000462986,0.000462986
3,130.414,0.95301,1.24163,1.07849,0.5802,0.60585,0.64185,0.44471,1.081,2.24129,1.19024,0.000682209,0.000682209,0.000682209
4,171.024,0.96615,1.11746,1.087,0.70456,0.77643,0.82926,0.58465,0.94876,1.40293,1.03816,0.000671588,0.000671588,0.000671588
5,213.073,0.90693,0.996,1.03765,0.61809,0.71172,0.68592,0.48813,0.96165,2.73779,1.04809,0.000657451,0.000657451,0.000657451
6,254.32,0.90567,0.9353,1.05363,0.71525,0.79767,0.80427,0.58787,0.86641,1.09373,0.9449,0.000643314,0.000643314,0.000643314
7,295.829,0.86877,0.85473,1.03156,0.78254,0.792,0.85787,0.62944,0.84887,1.00595,0.94029,0.000629177,0.000629177,0.000629177
8,340.145,0.8367,0.84541,1.02471,0.74817,0.82396,0.88757,0.67287,0.80049,0.88371,0.92709,0.00061504,0.00061504,0.00061504
9,384.873,0.83374,0.74584,1.01047,0.84894,0.81953,0.92655,0.72115,0.77948,0.7677,0.92222,0.000600902,0.000600902,0.000600902
10,426.36,0.80186,0.74856,0.99666,0.79122,0.82629,0.88475,0.68957,0.75802,0.75375,0.90363,0.000586765,0.000586765,0.000586765
11,467.755,0.79184,0.7088,0.99606,0.82939,0.89527,0.93122,0.7223,0.74833,0.69074,0.90444,0.000572628,0.000572628,0.000572628
12,513.99,0.76302,0.68374,0.97622,0.86411,0.85727,0.90341,0.70115,0.73446,0.63522,0.88487,0.000558491,0.000558491,0.000558491
13,555.23,0.74047,0.65195,0.96318,0.88599,0.87467,0.91944,0.70944,0.74388,0.64133,0.89233,0.000544354,0.000544354,0.000544354
14,597.079,0.73095,0.651,0.96941,0.86501,0.89714,0.9404,0.74625,0.70911,0.62579,0.8852,0.000530216,0.000530216,0.000530216
15,639.769,0.71426,0.61502,0.9501,0.8542,0.868,0.90262,0.7226,0.71001,0.58949,0.89289,0.000516079,0.000516079,0.000516079
16,681.418,0.71679,0.61227,0.94055,0.90204,0.89858,0.94031,0.76027,0.67844,0.55464,0.86751,0.000501942,0.000501942,0.000501942
17,723.314,0.68096,0.58296,0.94762,0.89985,0.8816,0.93729,0.7576,0.67812,0.56582,0.87744,0.000487805,0.000487805,0.000487805
18,765.169,0.68892,0.57424,0.93908,0.8615,0.91953,0.94402,0.75806,0.68652,0.55092,0.87495,0.000473668,0.000473668,0.000473668
